u1,u2,y1
26.2,93,29
26.2,93,36
26.2,93,42
26.2,93,37
26.2,92,40
26.2,91,37
26.2,91,40
26.2,90,36
26.2,90,53
26.2,90,45
26.7,89,43
26.2,89,42
26.7,88,43
26.3,88,42
26.7,87,44
26.7,86,46
26.3,86,45
26.7,86,46
26.7,86,46
26.7,85,51
26.7,84,47
26.7,84,46
26.7,84,48
26.7,84,48
26.2,84,52
26.7,84,53
26.2,84,54
26.2,85,53
26.2,85,52
26.2,85,50
26.2,85,48
26.2,85,51
26.3,83,52
26.2,82,57
26.2,84,58
26.2,84,58
26.2,84,59
26.2,84,63
25.8,84,71
26.2,84,83
25.8,83,78
25.8,84,83
25.8,83,83
25.8,84,72
25.8,84,81
25.8,83,86
25.8,83,96
25.8,83,97
25.8,84,97
25.8,84,100
25.8,84,100
25.8,83,100
25.8,84,100
25.8,84,100
25.8,84,100
25.8,84,100
25.8,84,100
25.8,84,100
25.8,84,100
25.8,83,100
26.2,83,100
25.8,82,100
25.8,83,100
26.2,83,100
26.2,83,100
26.2,83,100
26.7,82,100
26.7,82,100
26.7,81,100
26.7,81,100
27.1,81,100
27.6,80,100
28,79,100
28.5,78,100
28.1,77,100
28.5,76,100
28.9,76,100
28.5,76,100
28.5,76,100
29.3,71,31
29.3,72,34
29.3,71,39
29.3,72,45
29.3,72,100
29.3,72,100
29.3,73,100
29.3,72,100
29.8,72,100
29.4,71,100
29.8,72,100
29.8,72,100
29.3,72,100
29.3,72,100
29.4,72,100
29.3,72,100
29.3,73,100
29.3,72,100
29.3,72,100
29.3,72,100
29.8,72,100
29.8,72,100
29.3,72,100
29.3,72,100
29.3,73,100
29.3,72,100
29.3,72,100
29.3,72,100
29.3,72,100
29.3,71,100
29.3,72,100
29.3,72,100
29.3,72,100
29.3,72,100
28.9,72,100
28.9,72,100
28.9,73,100
28.9,73,100
28.9,73,100
28.9,73,100
28.9,73,100
28.9,74,100
28.9,74,100
28.9,74,100
28.9,74,100
28.9,74,100
28.5,74,100
28.5,74,100
28.9,74,100
28.5,74,100
28.9,74,100
28.9,74,100
28.5,76,100
28.5,77,100
28,77,100
28,77,100
28,76,100
28,76,100
28,77,100
28,77,100
28,77,100
28,77,100
28,76,100
28,77,100
28,77,100
28,77,100
28,77,100
28,77,100
28,77,100
27.6,78,100
27.6,78,100
27.6,78,100
27.6,78,100
27.6,79,100
27.6,79,100
27.6,79,100
27.6,79,100
27.6,80,100
27.2,80,100
27.1,80,100
27.6,79,100
27.6,79,100
27.5,79,100
27.1,80,100
27.1,80,100
27.1,80,100
27.1,79,100
27.1,79,100
27.1,79,100
27.1,80,100
27.1,80,100
27.1,80,100
26.7,80,100
26.7,80,100
26.7,80,100
