u1,u2,y1
26.7,88,48
27.1,88,48
26.7,88,48
27,88,49
27.1,88,28
26.2,90,29
26.2,91,29
26.2,92,28
26.2,92,31
26.2,92,31
26.2,92,19
26.2,92,21
26.2,93,20
26.2,92,20
26.2,92,19
26.2,92,20
26.2,92,23
26.2,92,20
26.7,92,20
26.7,92,20
26.7,92,21
26.7,91,21
26.7,91,16
26.7,91,16
26.7,90,17
26.7,90,18
26.7,90,17
26.7,90,12
26.2,90,11
26.7,90,17
26.2,90,18
26.7,90,16
26.7,90,17
26.7,90,13
26.7,90,13
26.7,90,14
26.7,90,15
26.7,89,14
26.7,89,13
26.7,89,19
26.7,89,15
26.7,89,15
26.7,89,15
26.7,89,15
26.7,89,15
26.7,89,17
26.7,89,15
26.7,89,16
26.7,89,17
26.7,89,17
26.7,89,17
26.7,89,17
26.7,89,17
26.3,90,17
26.2,89,17
26.2,89,17
26.7,89,17
26.2,89,13
26.2,88,13
26.2,88,13
26.2,88,14
26.7,89,15
26.2,88,16
26.7,88,17
26.7,88,15
26.5,88,15
26.2,88,15
26.7,86,16
26.7,86,15
26.7,87,16
26.7,87,17
26.7,87,15
26.7,86,17
26.7,86,16
26.7,86,17
26.7,87,17
26.7,87,17
26.7,88,17
26.7,86,17
27.1,87,16
27.1,87,17
27.1,87,17
27.1,87,16
27.1,86,17
26.7,88,17
27.1,88,17
27.1,88,17
27.1,86,16
27.1,85,17
27.6,85,16
27.1,86,16
27.1,87,15
27.6,86,15
27.6,86,16
28,84,16
28,84,16
28.5,83,16
28.9,83,16
28.9,82,18
28.5,82,17
28.9,82,17
28.9,81,17
28.9,80,17
28.9,80,17
28.9,81,16
28.5,81,14
28.9,80,13
28.9,80,14
28.9,80,14
28.9,80,13
28.9,80,13
28.9,79,13
29.3,80,13
29.3,80,13
29.3,79,13
29.3,79,13
29.8,78,13
29.3,79,12
29.3,79,13
29.3,78,12
29.8,79,13
29.8,76,14
29.8,77,12
29.8,76,13
29.8,77,12
29.8,77,12
29.8,76,12
29.8,76,12
29.8,76,11
29.8,76,11
30.2,75,12
29.8,76,11
30.2,75,12
29.8,76,12
29.8,76,17
29.8,76,14
29.8,76,14
29.8,76,14
29.8,76,25
29.8,76,21
29.8,76,20
29.8,76,19
29.8,78,19
29.3,78,19
29.3,79,18
29.3,79,18
29.3,78,16
29.8,79,18
29.3,77,11
29.8,77,12
29.8,76,12
29.3,76,12
29.8,76,13
29.4,76,12
29.8,76,14
29.3,76,14
29.3,76,21
29.3,76,14
29.5,77,14
29.4,76,14
29.3,77,14
29.3,76,14
29.3,77,15
29.3,77,15
29.3,76,16
29.3,77,15
29.3,78,15
29.3,78,16
29.3,79,15
29.3,79,17
29.3,79,16
28.9,80,16
28.9,80,15
28.9,80,16
28.9,80,17
28.9,79,17
28.9,78,17
28.9,78,16
28.9,78,18
28.9,78,19
28.9,78,22
28.9,78,24
28.9,78,24
28.9,78,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,78,100
28.9,79,100
28.9,78,100
28.9,78,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.9,79,100
28.5,80,100
28.8,79,100
28.5,80,100
28,80,100
