u1,u2,y1
26.7,80,100
26.7,81,100
27.1,80,100
27.1,80,100
27.1,80,100
27.1,80,100
27.1,80,100
27.1,80,100
27.1,80,100
26.7,81,100
27.1,80,100
26.7,81,100
26.7,80,100
27.1,81,100
27.1,80,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,81,100
26.7,82,100
26.7,82,100
26.7,82,100
26.7,82,100
26.2,82,100
26.2,82,100
26.7,82,100
26.2,82,100
26.2,82,100
26.3,82,100
26.7,82,100
26.2,82,100
26.2,83,100
26.2,84,100
26.2,84,100
26.2,84,100
26.2,83,100
26.2,83,100
26.2,83,100
26.2,83,100
26.2,83,100
26.2,82,100
26.2,83,100
26.7,82,100
26.2,83,100
26.2,83,100
26.2,83,100
26.2,83,100
26.2,84,100
26.2,84,100
26.2,83,100
26.2,83,100
26.2,84,100
26.2,83,100
26.2,83,100
26.2,83,100
26.2,84,100
26.7,83,100
26.7,82,100
26.2,83,100
26.7,83,100
26.7,82,100
26.7,82,100
26.7,82,100
26.9,82,100
26.7,82,100
27.1,82,100
26.7,82,100
27.1,82,100
27.1,81,100
27.1,82,100
27.6,81,100
27.6,81,100
27.6,81,100
27.6,81,100
28,80,100
28,79,100
28,79,100
28,79,100
28.2,79,100
28.5,78,100
28.5,78,100
28.5,77,100
28.9,76,100
28.9,76,100
29.3,76,100
29,76,100
29.3,76,100
29.3,76,100
29.3,76,100
29.3,76,100
29.3,75,100
29.3,75,100
29.8,74,100
29.8,74,100
29.8,74,100
29.8,73,100
29.8,72,100
30.2,71,100
29.8,72,100
29.8,71,100
29.8,71,100
29.8,71,100
30.2,71,100
30.2,69,100
30.2,69,100
30.2,69,100
29.8,71,100
29.8,72,100
29.8,72,100
29.8,72,100
29.8,72,100
29.8,72,100
30.2,71,100
29.8,72,100
29.8,72,100
29.8,72,100
29.8,72,100
29.8,74,100
29.8,73,100
30.2,72,100
29.8,72,100
30.2,72,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,71,100
30.2,70,100
30.2,71,100
29.8,72,100
30.2,71,100
29.8,72,100
29.8,72,100
29.8,72,100
29.8,76,100
29.3,77,50
28.9,80,38
28.5,82,36
28.9,81,35
28.9,81,34
28.9,84,25
28,85,27
27.6,89,26
27.6,89,28
27.6,89,25
27.6,89,21
27.6,89,22
27.6,88,26
27.6,88,25
27.6,87,23
27.6,87,25
27.6,87,22
28,84,29
28,85,28
28,84,28
28,84,25
28,84,35
28,83,23
28,82,22
28,84,23
28,84,24
28,84,24
28,84,25
28.5,83,23
28.5,83,20
28.5,83,22
28.5,83,25
28.5,83,25
28.5,84,21
28.5,84,23
28.5,84,23
28.5,84,27
28.5,84,27
28.5,83,24
28.2,83,30
28.1,84,31
28,83,29
28,83,33
28,82,38
28,81,43
28,81,44
28,82,46
27.6,83,36
27.6,84,59
27.6,84,48
27.6,83,50
27.6,83,51
27.6,84,49
27.6,83,51
27.6,84,51
27.1,85,56
27.1,85,60
27.1,85,61
27.1,86,49
27.1,86,50
27.1,86,52
27.1,86,57
27.1,85,60
27.1,85,62
27.2,85,63
27.2,85,62
27.1,85,61
27.1,85,65
27.6,85,63
27.6,85,59
27.1,85,57
27.1,85,60
27.1,85,69
27.1,86,54
27.1,86,61
27.1,86,58
27.1,86,63
27.1,85,61
27.1,85,66
